Gene_Pair	GeneA y Phenotype	GeneB y Phenotype	"GeneAB Observed y Phenotype"	GeneAB RawGI	GeneAB NormGI	GeneAB GIT score	GeneAB GIM score	"Correlation of GI profiles (GIT score)"	"Correlation of GI profiles (GIM score)"	q-values based on GIM score
DDR2__NPR2	-0,085	-2,336	-2,586	0,172	0,288	1,140	1,339	0,030	0,093	0,172917064
PFKFB1__PRKCZ	-0,008	-1,211	-1,270	0,173	0,335	1,140	0,611	-0,020	-0,007	0,310769216
MST1R__NTRK1	-0,732	-0,861	-1,641	0,148	0,267	1,140	0,835	0,085	0,115	0,261038764
EDA__KCNQ4	-2,372	-1,655	-3,599	0,145	0,238	1,140	1,110	-0,007	0,043	0,207716096
EGFR__PIK3R2	0,272	-1,287	-1,131	0,196	0,375	1,140	0,713	0,082	0,021	0,287981659
NDUFA4__UCK2	-5,357	-0,763	-5,771	0,376	0,518	1,141	1,044	0,058	0,032	0,221568911
ALAD__PRKDC	-4,894	-3,525	-8,430	0,190	0,259	1,141	0,990	0,050	0,051	0,232025033
BCKDK__PPP1CC	-0,637	-1,344	-2,109	0,179	0,313	1,142	0,616	0,212	0,229	0,310003214
CASK__TXN	-0,481	-9,806	-9,700	0,504	0,454	1,142	1,727	-0,017	0,057	0,120679445
DCK__DCK	-1,100	-1,100	-2,277	0,206	0,379	1,142	1,722	NA	NA	0,121051535
CSNK1G2__ITGA6	-1,166	-0,877	-2,107	0,138	0,270	1,143	0,510	0,053	0,035	0,331664829
PNMT__RPS6KA2	-0,507	-0,478	-0,953	0,159	0,281	1,143	0,980	0,005	0,053	0,233552259
AMHR2__MMP14	-1,067	-0,159	-1,312	0,139	0,250	1,143	0,846	0,056	0,039	0,258311116
FGFR4__PTP4A3	0,053	-0,976	-0,895	0,119	0,233	1,143	0,343	0,019	0,050	0,369648909
ACY1__MCL1	-1,630	-2,489	-3,974	0,205	0,285	1,144	1,181	0,043	0,042	0,196542198
PTPRE__PTPRJ	-0,635	-1,014	-1,990	0,153	0,269	1,145	1,156	0,131	0,200	0,20006397
AOC1__NDUFB1	-0,898	-6,822	-7,026	0,241	0,297	1,145	0,523	0,193	0,155	0,32879663
PNMT__TSPO	-0,507	-1,526	-2,247	0,160	0,282	1,145	0,706	0,150	0,139	0,289523182
PNMT__SLC16A8	-0,507	-1,458	-1,956	0,196	0,353	1,145	0,537	0,100	0,113	0,325755839
NDUFA4L2__PRKCZ	-1,573	-1,211	-2,508	0,187	0,300	1,145	1,380	0,056	0,023	0,166573845
CSF1R__TXN	-0,238	-9,806	-9,450	0,458	0,417	1,145	1,378	0,123	0,089	0,167049614
ALAD__PPP1CC	-4,894	-1,344	-6,161	0,266	0,309	1,146	0,617	0,088	0,132	0,309769271
HCRT__SSTR4	-1,411	-1,612	-3,283	0,150	0,275	1,146	1,094	0,126	0,113	0,210642746
MAP3K4__TAOK2	-1,918	-0,348	-2,134	0,141	0,258	1,147	1,165	0,108	0,186	0,199326503
EGFR__PTGER1	0,272	-0,443	-0,188	0,181	0,330	1,147	1,484	0,060	0,079	0,152922612
NPEPPS__PTPRJ	-1,323	-1,014	-2,299	0,162	0,258	1,147	0,912	-0,058	-0,098	0,245494954
BRD2__CDK8	-2,558	-1,445	-4,137	0,187	0,302	1,147	1,654	0,061	0,022	0,129352752
HCK__PIK3CD	-0,685	-1,372	-1,895	0,287	0,455	1,147	1,609	0,066	0,062	0,135038834
CAMK2B__EGFR	-0,060	0,272	0,086	0,161	0,293	1,148	0,542	0,193	0,209	0,324341892
CARM1__PNMT	-3,923	-0,507	-4,011	0,240	0,350	1,148	1,553	0,094	0,103	0,143592902
IGF1R__LARS2	-4,583	-5,628	-9,823	0,519	0,346	1,149	1,211	0,074	0,039	0,191077642
CIT__PLA2G2E	-4,565	-0,827	-5,141	0,194	0,293	1,150	1,343	0,100	0,119	0,172330158
FGFR4__SPHK2	0,053	-0,950	-0,648	0,171	0,291	1,150	1,176	0,082	0,086	0,197229321
IGF1R__PRKAA1	-4,583	-0,215	-4,880	0,232	0,333	1,150	0,558	0,026	-0,010	0,320989537
GCK__LIG1	0,031	-2,514	-2,242	0,159	0,309	1,150	0,656	0,123	0,111	0,300967358
KDM1A__MAP4K1	-9,378	-0,584	-10,504	0,271	0,250	1,151	0,573	0,083	0,053	0,318103423
EPHB2__SKP2	-0,976	-3,289	-4,207	0,176	0,249	1,151	0,740	0,196	0,196	0,282253838
EPRS__GRIK5	-8,873	-0,078	-8,137	0,262	0,312	1,151	1,131	0,004	0,007	0,203948272
NT5M__XIAP	-0,676	-2,451	-2,321	0,172	0,299	1,151	1,429	-0,071	-0,044	0,161396277
APEX1__CYP4F12	-2,369	-2,447	-4,445	0,204	0,300	1,152	0,597	0,075	0,032	0,312673895
ERBB4__HCRT	-0,217	-1,411	-1,608	0,146	0,294	1,152	1,102	0,132	0,120	0,209144807
AOC1__PIM1	-0,898	-3,019	-3,984	0,163	0,256	1,152	0,853	0,115	0,125	0,256361028
MAP3K4__SLC16A8	-1,918	-1,458	-3,805	0,186	0,300	1,152	0,312	0,153	0,145	0,376374821
ERBB2__KDM1A	-1,344	-9,378	-9,855	0,317	0,268	1,152	1,773	0,047	0,014	0,115971568
CSK__FGFR4	-1,758	0,053	-1,768	0,148	0,254	1,153	1,573	0,139	0,183	0,14070371
CAMK2A__SLC16A8	-0,737	-1,458	-2,397	0,198	0,327	1,153	0,741	0,163	0,231	0,281940787
KSR1__PRKAR1A	-0,783	-0,754	-1,381	0,139	0,238	1,154	1,224	0,096	0,140	0,189132219
BCL2L2__TAOK2	-1,926	-0,348	-2,199	0,135	0,262	1,154	1,155	0,200	0,220	0,20012011
CRYBB1__DMPK	-0,615	-1,362	-2,196	0,171	0,311	1,154	0,343	0,105	0,146	0,369641921
CD22__MAP3K3	-0,503	-1,218	-1,375	0,159	0,268	1,154	1,085	0,187	0,143	0,212694871
AOC3__LTB4R	-1,567	-1,324	-2,882	0,157	0,272	1,155	1,015	-0,053	-0,069	0,227088729
FGFR4__NAGK	0,053	-0,739	-0,426	0,138	0,242	1,155	1,059	0,180	0,208	0,218306068
AOC1__FABP4	-0,898	0,022	-0,651	0,143	0,255	1,155	0,812	0,145	0,147	0,266098675
MAPK8IP1__NAGK	-0,095	-0,739	0,114	0,194	0,327	1,156	1,171	0,097	0,077	0,198081621
PIK3CB__UMPS	0,064	-12,605	-11,262	0,386	0,334	1,156	0,471	0,081	0,087	0,34068972
AXL__MASP2	-0,979	-0,472	-1,985	0,156	0,265	1,156	1,347	0,073	0,085	0,171398758
MMP25__MST1R	-0,437	-0,732	-1,069	0,133	0,254	1,156	1,110	0,083	0,092	0,207804316
PIK3CB__PTP4A3	0,064	-0,976	-0,596	0,170	0,318	1,156	1,410	0,176	0,197	0,162299038
BCAT2__OXT	-1,032	-0,939	-2,209	0,151	0,252	1,156	1,264	0,272	0,328	0,18343092
GALK1__HMGA1	-1,781	-5,600	-7,201	0,265	0,302	1,157	0,695	0,144	0,169	0,291833405
BIRC5__MAP2K5	-9,867	-0,580	-10,302	0,415	0,350	1,157	0,738	0,125	0,136	0,282495366
GHSR__PRKCD	-0,283	0,177	-0,329	0,154	0,299	1,157	0,682	0,132	0,182	0,29516717
EPRS__SLC16A8	-8,873	-1,458	-8,998	0,410	0,418	1,157	0,573	-0,064	-0,102	0,318059836
GRIK5__OXT	-0,078	-0,939	-1,301	0,140	0,240	1,157	0,907	0,087	0,086	0,246291931
AOC1__EPHB4	-0,898	-0,079	-0,847	0,125	0,262	1,157	0,434	0,072	0,090	0,349648461
GRIK5__PTP4A3	-0,078	-0,976	-0,799	0,134	0,235	1,157	1,419	0,096	0,104	0,161586812
DOT1L__HMGA1	-5,960	-5,600	-10,330	0,327	0,250	1,158	1,652	-0,016	0,024	0,129345915
PIK3C2B__SLC5A5	-0,665	-0,791	-1,651	0,188	0,315	1,158	0,878	0,010	0,016	0,251433346
NTRK1__SKP2	-0,861	-3,289	-4,233	0,164	0,264	1,158	1,597	0,067	0,072	0,137226638
AANAT__PRKCD	-1,408	0,177	-1,240	0,157	0,303	1,158	0,872	0,067	0,069	0,252841681
EGFR__PIM2	0,272	-2,275	-1,742	0,217	0,350	1,158	1,678	0,045	0,052	0,126537651
PIK3C2B__SPHK1	-0,665	-1,140	-1,622	0,202	0,346	1,158	1,775	0,132	0,111	0,115693369
ALK__MST1R	-0,898	-0,732	-1,939	0,141	0,255	1,159	0,562	0,035	0,013	0,320102592
DDR1__MST1R	-0,649	-0,732	-1,545	0,129	0,254	1,159	0,448	0,186	0,177	0,346380585
INPP1__STMN1	-0,451	-3,308	-3,402	0,199	0,293	1,159	0,920	-0,069	-0,020	0,243934789
AOC3__TAOK2	-1,567	-0,348	-1,733	0,159	0,254	1,159	0,342	0,104	0,043	0,369879137
RPS6KA2__SSTR5	-0,478	-1,555	-2,135	0,148	0,245	1,159	0,954	0,147	0,139	0,237626849
DMPK__HCRTR1	-1,362	-3,307	-4,990	0,209	0,304	1,159	0,605	0,135	0,116	0,311629765
IL12A__PDK2	-0,186	-1,118	-0,713	0,197	0,381	1,160	1,196	0,185	0,148	0,193691665
ATM__PFKFB4	-1,456	-0,585	-1,931	0,149	0,280	1,160	0,904	-0,094	-0,186	0,2468031
CD22__HCK	-0,503	-0,685	-0,716	0,191	0,360	1,161	1,129	0,093	0,073	0,204658999
NPY4R__SSTR5	-2,263	-1,555	-3,299	0,222	0,351	1,161	1,252	0,038	0,036	0,18529639
IL12A__MAP3K3	-0,186	-1,218	-1,076	0,166	0,297	1,161	1,254	0,140	0,125	0,185070043
ALAD__LTB4R	-4,894	-1,324	-5,833	0,235	0,304	1,162	1,160	-0,022	-0,014	0,199483642
PTPRE__UMPS	-0,635	-12,605	-12,671	0,311	0,268	1,162	0,752	0,018	-0,019	0,279864413
FN3K__PNMT	-0,827	-0,507	-1,169	0,199	0,347	1,162	0,723	0,169	0,145	0,286085649
CAMK2G__CYP26A1	-1,296	-1,114	-2,832	0,215	0,330	1,162	0,871	0,098	0,137	0,2529144
PTGER1__PTGER1	-0,443	-0,443	-0,737	0,250	0,457	1,163	1,554	NA	NA	0,143547569
ALPL__NR5A1	-0,749	-0,415	-0,993	0,162	0,303	1,164	1,338	0,109	0,132	0,17304577
ALAD__BCAT2	-4,894	-1,032	-5,919	0,204	0,266	1,164	0,627	0,056	0,140	0,307360173
CSF3R__MAP2K5	-2,260	-0,580	-2,867	0,159	0,272	1,164	0,873	0,118	0,091	0,252562207
CLK3__MCAT	-0,453	-12,434	-12,005	0,820	0,461	1,164	1,164	0,048	0,026	0,199360002
ALK__MAPK12	-0,898	-3,067	-5,602	0,173	0,265	1,164	0,732	0,238	0,237	0,283846071
EGFR__PTP4A3	0,272	-0,976	-0,794	0,168	0,304	1,165	0,683	-0,012	0,062	0,295046455
CA9__CAMK1D	-2,644	0,124	-2,386	0,205	0,339	1,165	1,194	0,109	0,098	0,193953636
GRIK5__ILK	-0,078	-0,704	-0,761	0,136	0,247	1,166	1,093	0,168	0,180	0,211118835
CARM1__CDK12	-3,923	-5,192	-8,295	0,301	0,349	1,166	0,938	0,007	0,003	0,241336451
INPP1__MAP3K5	-0,451	-0,220	-0,584	0,199	0,365	1,166	1,819	-0,008	0,022	0,111605739
IL12A__KCNQ4	-0,186	-1,655	-1,454	0,155	0,278	1,166	1,878	0,112	0,170	0,104692528
APEX1__PIK3CA	-2,369	-2,547	-5,120	0,235	0,302	1,166	0,564	-0,039	-0,086	0,319610908
CDK8__CNTFR	-1,445	-2,203	-3,514	0,275	0,385	1,166	1,329	0,116	0,071	0,174238511
DDR2__UCK2	-0,085	-0,763	-1,017	0,156	0,283	1,166	0,583	0,092	0,042	0,315670068
ILK__PTK6	-0,704	-0,728	-1,449	0,146	0,267	1,166	0,769	0,106	0,040	0,275926287
BCKDK__BRD2	-0,637	-2,558	-3,244	0,165	0,258	1,167	0,986	0,178	0,160	0,23251214
BRCA2__NOS2	-3,688	-1,122	-5,042	0,183	0,266	1,167	0,558	0,197	0,175	0,321014977
RPS6KA2__SPHK1	-0,478	-1,140	-1,394	0,169	0,317	1,167	1,241	-0,016	0,059	0,18680536
NPY4R__PARP1	-2,263	-3,299	-4,895	0,281	0,377	1,168	1,267	0,049	0,059	0,182799579
ATR__CSNK1G2	-10,398	-1,166	-9,424	0,371	0,333	1,168	0,970	-0,025	0,035	0,234937272
ALPL__PTPRE	-0,749	-0,635	-1,478	0,158	0,278	1,169	1,870	0,224	0,275	0,105909299
PIM2__PRSS8	-2,275	-0,778	-2,931	0,173	0,291	1,169	0,943	-0,076	-0,022	0,24034111
CRYBB1__SPHK2	-0,615	-0,950	-1,471	0,209	0,336	1,169	1,385	0,004	-0,016	0,165870263
CYP4F12__EPRS	-2,447	-8,873	-8,173	0,350	0,392	1,170	0,820	0,020	0,004	0,263740854
EPRS__MAP4K1	-8,873	-0,584	-6,416	0,314	0,380	1,170	1,538	0,015	-0,010	0,146216575
CIT__CSNK1G2	-4,565	-1,166	-5,313	0,197	0,270	1,170	1,228	0,200	0,218	0,188930355
ATM__MAP3K5	-1,456	-0,220	-1,799	0,147	0,294	1,170	1,789	0,149	0,101	0,114531967
NDUFA4L2__PFKFB1	-1,573	-0,008	-1,178	0,167	0,295	1,170	1,815	0,150	0,175	0,11172196
MAP2K5__UMPS	-0,580	-12,605	-11,778	0,281	0,271	1,171	1,149	0,001	-0,013	0,201068829
CARM1__SKP2	-3,923	-3,289	-6,969	0,256	0,284	1,171	0,618	0,200	0,167	0,309790643
BSG__MAPK3	-4,293	-1,014	-5,575	0,194	0,274	1,171	0,556	0,129	0,154	0,321278882
BCL2L1__PRKAB1	-5,370	-0,227	-5,454	0,172	0,251	1,172	0,770	0,036	0,089	0,275655746
AMHR2__BSG	-1,067	-4,293	-5,282	0,206	0,264	1,172	0,647	0,092	0,103	0,303292587
PRKDC__UCK2	-3,525	-0,763	-4,237	0,202	0,273	1,172	1,140	0,021	0,015	0,202521615
MAP3K5__NDUFB1	-0,220	-6,822	-7,275	0,314	0,339	1,172	0,746	0,107	0,103	0,280766356
DOT1L__MAP4K1	-5,960	-0,584	-7,085	0,194	0,272	1,173	0,629	0,038	0,068	0,307018938
AOC1__TAOK2	-0,898	-0,348	-1,297	0,144	0,266	1,173	0,678	0,112	0,139	0,295737421
PRKCA__TXN	-0,440	-9,806	-9,710	0,487	0,474	1,173	1,454	0,094	0,090	0,157597753
CNTFR__JAK3	-2,203	-0,991	-3,042	0,244	0,394	1,174	0,770	0,084	0,046	0,275648353
MASP2__PFKFB4	-0,472	-0,585	-1,212	0,154	0,286	1,174	1,091	0,132	0,194	0,211547798
BSG__KCNA3	-4,293	0,011	-4,634	0,188	0,293	1,174	1,114	0,039	0,044	0,206853875
EHMT2__HMGCR	-0,955	-4,338	-5,057	0,280	0,325	1,174	1,394	0,062	-0,006	0,164330455
BCAT2__CYP26A1	-1,032	-1,114	-2,505	0,189	0,315	1,174	0,982	0,113	0,163	0,2331858
GHSR__PLA2G4C	-0,283	-0,026	-0,271	0,125	0,269	1,174	0,732	-0,102	-0,133	0,283864444
BCAT2__BCAT2	-1,032	-1,032	-1,727	0,221	0,385	1,175	0,937	NA	NA	0,241499486
AOC1__NAGK	-0,898	-0,739	-1,361	0,136	0,250	1,175	0,823	0,104	0,136	0,263198147
MAP3K3__PRSS8	-1,218	-0,778	-1,964	0,170	0,278	1,175	1,180	0,166	0,173	0,196699107
PFKFB4__SSTR5	-0,585	-1,555	-2,090	0,185	0,286	1,176	1,081	-0,052	-0,047	0,213384707
ERBB2__SLC16A8	-1,344	-1,458	-3,129	0,176	0,296	1,176	0,818	0,213	0,256	0,264469098
FGFR3__MAPK8IP1	-0,912	-0,095	-2,592	0,203	0,321	1,176	2,175	0,145	0,119	0,081534012
CD22__PRKCD	-0,503	0,177	-0,394	0,143	0,269	1,177	1,521	-0,063	-0,072	0,148562655
PIK3R2__PTPRZ1	-1,287	-0,127	-0,861	0,249	0,466	1,177	0,970	0,080	0,085	0,234934015
CNTFR__ILK	-2,203	-0,704	-2,733	0,211	0,334	1,177	1,547	0,051	0,078	0,144439651
ERBB3__PFKFB1	-1,385	-0,008	-1,384	0,193	0,318	1,177	1,044	0,081	0,076	0,221551137
LARS2__MAP3K3	-5,628	-1,218	-6,355	0,213	0,282	1,177	0,855	0,027	0,047	0,255790777
DNMT1__SPHK1	-3,434	-1,140	-4,338	0,350	0,485	1,177	0,948	0,130	0,091	0,239008192
ATR__AXL	-10,398	-0,979	-9,400	0,328	0,331	1,178	0,846	0,054	0,079	0,258247098
CAMK1D__EPHB2	0,124	-0,976	-0,809	0,148	0,289	1,178	0,855	-0,025	-0,012	0,255854081
CSF1R__PTK6	-0,238	-0,728	-0,544	0,171	0,326	1,178	1,530	0,081	0,112	0,147161077
FGFR2__MAP3K3	-0,533	-1,218	-1,814	0,158	0,262	1,178	1,029	0,124	0,129	0,224177183
CKM__MASP2	-1,322	-0,472	-2,045	0,133	0,272	1,178	0,647	0,162	0,088	0,303247535
CAMK1G__TYK2	-0,701	-1,079	-1,539	0,169	0,270	1,179	1,297	0,149	0,156	0,178800221
MMP25__PTP4A3	-0,437	-0,976	-1,477	0,125	0,243	1,179	0,457	0,133	0,130	0,344436936
MAP3K5__UCK2	-0,220	-0,763	-0,860	0,156	0,296	1,179	1,196	-0,050	-0,002	0,193482278
SLC5A5__SPHK2	-0,791	-0,950	-1,591	0,179	0,315	1,179	1,254	0,129	0,086	0,185096429
ATM__MAPK12	-1,456	-3,067	-4,530	0,199	0,260	1,179	1,270	0,079	0,076	0,182530187
IGF1R__RELA	-4,583	-0,822	-5,314	0,236	0,318	1,179	1,268	0,134	0,158	0,182864327
CYP11B2__LTB4R	-0,595	-1,324	-1,745	0,138	0,273	1,180	0,796	0,012	0,082	0,269278904
CSK__MAP3K5	-1,758	-0,220	-1,930	0,188	0,289	1,180	1,261	-0,024	0,028	0,184159743
CAMK2G__MAP2K5	-1,296	-0,580	-1,861	0,165	0,278	1,181	0,576	0,094	0,098	0,317476081
BCKDK__CSF3R	-0,637	-2,260	-2,915	0,161	0,278	1,181	0,583	0,250	0,256	0,315639803
ACVR1__EPHB4	-0,009	-0,079	-0,079	0,162	0,327	1,181	1,185	0,061	0,085	0,19538635
CLK3__MST1R	-0,453	-0,732	-1,102	0,219	0,389	1,182	1,058	0,090	0,140	0,218396084
MC1R__NDUFA4	-1,588	-5,357	-6,066	0,518	0,664	1,182	0,998	-0,008	0,043	0,23043275
NPY4R__NT5M	-2,263	-0,676	-2,779	0,174	0,286	1,182	0,830	0,083	0,076	0,261790337
CA9__MMP14	-2,644	-0,159	-2,492	0,172	0,299	1,183	1,098	0,135	0,105	0,209841222
EHMT2__PTGER1	-0,955	-0,443	-2,948	0,228	0,381	1,183	0,734	0,049	0,031	0,283529615
PRKCD__TAOK2	0,177	-0,348	-0,300	0,151	0,293	1,184	1,228	0,038	0,040	0,188961767
AANAT__EDA	-1,408	-2,372	-3,125	0,168	0,299	1,184	0,911	-0,019	-0,042	0,24556123
ACY1__NAGK	-1,630	-0,739	-1,901	0,144	0,267	1,184	1,562	0,060	0,096	0,142290126
GRIK5__SSTR5	-0,078	-1,555	-1,856	0,141	0,256	1,185	0,638	0,025	0,062	0,305149638
CYP26A1__PTGER1	-1,114	-0,443	-1,584	0,179	0,339	1,185	1,418	0,082	0,032	0,161487631
ACVR1__EHMT2	-0,009	-0,955	-0,565	0,182	0,379	1,185	1,240	0,064	0,053	0,187078879
AKT2__AOC3	-3,476	-1,567	-4,965	0,185	0,279	1,185	0,779	0,091	0,098	0,273164158
DNMT1__PNMT	-3,434	-0,507	-3,585	0,297	0,484	1,185	1,094	0,117	0,118	0,210886978
EGFR__NT5M	0,272	-0,676	-0,350	0,148	0,308	1,185	1,083	-0,065	-0,017	0,213004494
CYP11B2__FGFR4	-0,595	0,053	-0,432	0,143	0,270	1,185	1,118	0,041	0,002	0,206334659
ATM__PNMT	-1,456	-0,507	-1,704	0,176	0,319	1,186	1,238	0,032	-0,050	0,187481444
CASK__NPY4R	-0,481	-2,263	-2,067	0,241	0,392	1,186	1,552	0,109	0,131	0,143854833
KDM1A__NOS2	-9,378	-1,122	-10,234	0,313	0,267	1,186	0,985	0,120	0,021	0,232624243
KCNQ4__NAMPT	-1,655	-16,018	-16,893	0,638	0,283	1,186	1,313	0,070	0,049	0,176209126
EPRS__PLOD1	-8,873	-1,793	-9,970	0,374	0,358	1,186	0,858	-0,060	-0,100	0,255670405
AMHR2__CYP11B2	-1,067	-0,595	-1,608	0,140	0,254	1,186	0,565	0,129	0,134	0,319563609
KCNA3__NT5M	0,011	-0,676	-0,817	0,139	0,264	1,186	1,132	0,164	0,159	0,203764552
ALPL__SSTR4	-0,749	-1,612	-2,938	0,268	0,318	1,187	0,988	0,153	0,116	0,232488893
ACVRL1__PFKFB4	-0,850	-0,585	-1,081	0,150	0,298	1,187	2,253	0,195	0,169	0,07615526
CAMK2G__PPP1CC	-1,296	-1,344	-2,563	0,200	0,316	1,187	0,551	0,119	0,155	0,322325668
EPHA2__SKP2	-0,696	-3,289	-3,882	0,180	0,267	1,187	1,185	0,186	0,155	0,195469006
EDA__PRODH	-2,372	-2,250	-4,384	0,199	0,288	1,188	1,635	-0,024	0,032	0,131079979
BCL2L1__P2RY6	-5,370	-0,760	-5,800	0,193	0,252	1,188	1,128	0,144	0,124	0,204833983
BCAT2__XIAP	-1,032	-2,451	-2,949	0,166	0,295	1,188	0,515	-0,008	0,016	0,330637549
GALK1__NDUFB1	-1,781	-6,822	-8,204	0,326	0,368	1,188	0,777	0,198	0,179	0,273853863
AGPAT1__NDUFB1	-2,019	-6,822	-8,571	0,271	0,372	1,189	0,622	0,036	0,031	0,308295154
CSNK1G2__FGFR2	-1,166	-0,533	-1,613	0,146	0,263	1,189	0,643	0,149	0,125	0,304120343
CDC25B__XPO1	-1,748	-11,396	-13,033	0,682	0,439	1,189	1,283	0,113	0,109	0,180112726
CAMK1D__LARS2	0,124	-5,628	-5,612	0,262	0,362	1,190	0,856	0,057	0,021	0,255778499
AANAT__ILK	-1,408	-0,704	-2,020	0,157	0,306	1,190	1,457	0,035	0,012	0,157514443
CIT__SKP2	-4,565	-3,289	-8,048	0,271	0,251	1,190	0,797	0,111	0,121	0,269219108
LCK__PARP1	-2,887	-3,299	-5,799	0,302	0,354	1,190	0,911	0,003	0,029	0,245578003
ERBB4__MAP4K1	-0,217	-0,584	-0,860	0,164	0,294	1,190	0,619	0,052	0,023	0,309464983
HCRT__UCK2	-1,411	-0,763	-2,206	0,149	0,257	1,190	0,420	0,102	0,048	0,352776021
NPY4R__PRKCZ	-2,263	-1,211	-3,374	0,243	0,387	1,191	1,012	0,090	0,082	0,227586541
BSG__MAP2K2	-4,293	-0,367	-5,043	0,190	0,278	1,191	1,136	0,009	0,045	0,203080327
CDKN1A__EPRS	-1,754	-8,873	-8,398	0,290	0,393	1,191	0,526	0,006	-0,048	0,328248586
CSK__SPHK2	-1,758	-0,950	-2,453	0,178	0,300	1,191	0,900	-0,055	-0,031	0,247609326
MAP3K5__NDUFA4	-0,220	-5,357	-4,500	0,664	0,912	1,191	1,295	0,154	0,122	0,178897898
CRYBB1__PRKAB1	-0,615	-0,227	-0,848	0,154	0,302	1,191	1,040	0,205	0,172	0,222022217
BRCA2__RET	-3,688	0,245	-3,690	0,207	0,323	1,191	0,749	0,065	0,104	0,280399448
BSG__RPS6KA2	-4,293	-0,478	-5,166	0,172	0,275	1,191	1,133	0,283	0,208	0,203484554
AANAT__MAPK3	-1,408	-1,014	-2,330	0,199	0,299	1,192	0,559	0,099	0,094	0,320763237
KDM1A__PNMT	-9,378	-0,507	-9,593	0,375	0,293	1,192	1,662	0,102	0,087	0,128400951
MAPK8IP1__MST1R	-0,095	-0,732	-0,148	0,194	0,352	1,192	1,493	0,053	0,030	0,152185036
BSG__HCK	-4,293	-0,685	-4,439	0,250	0,346	1,192	0,716	0,122	0,144	0,287227799
GALK1__MAP3K4	-1,781	-1,918	-3,820	0,207	0,337	1,193	0,507	0,078	0,073	0,332443436
BCL2L2__PNMT	-1,926	-0,507	-1,880	0,165	0,289	1,193	0,739	0,121	0,071	0,282492127
ALK__APEX1	-0,898	-2,369	-3,026	0,236	0,308	1,193	1,835	0,061	0,059	0,109673658
GMPS__MAP3K5	-9,083	-0,220	-8,256	0,323	0,337	1,193	0,931	-0,045	-0,129	0,242460971
ATR__NPR2	-10,398	-2,336	-12,074	0,377	0,336	1,193	0,537	0,017	-0,006	0,325663319
CDK2__NDUFA4	-4,432	-5,357	-8,680	1,096	0,990	1,193	0,926	-0,107	-0,093	0,243366303
FN3K__GALK1	-0,827	-1,781	-2,505	0,210	0,323	1,194	1,076	0,133	0,121	0,214507954
FGFR2__SSTR4	-0,533	-1,612	-2,163	0,243	0,304	1,194	1,317	0,099	0,047	0,175804251
CDK5__NDUFA4	-0,143	-5,357	-4,966	0,436	0,655	1,194	1,218	0,098	0,064	0,190148356
DCXR__DOT1L	-1,067	-5,960	-7,266	0,214	0,261	1,194	1,035	-0,003	0,000	0,223150855
BRD2__NPR2	-2,558	-2,336	-4,762	0,186	0,263	1,195	0,897	0,069	0,122	0,247820144
MAPK12__NTRK1	-3,067	-0,861	-3,843	0,205	0,291	1,195	1,088	0,074	0,088	0,212040138
BRD2__EPHB2	-2,558	-0,976	-3,396	0,196	0,290	1,195	1,245	0,163	0,129	0,185931453
GALK1__PFKFB1	-1,781	-0,008	-2,504	0,202	0,357	1,195	0,630	-0,047	-0,065	0,306628941
ALAD__TXN	-4,894	-9,806	-14,461	0,723	0,403	1,195	0,776	0,107	0,044	0,274075078
GRM2__NPR2	-0,213	-2,336	-2,424	0,168	0,293	1,195	1,108	0,121	0,063	0,208077063
PARP1__TXN	-3,299	-9,806	-12,935	0,817	0,462	1,196	1,188	0,095	0,056	0,194946483
PIK3C2B__RPS6KA2	-0,665	-0,478	-1,248	0,184	0,309	1,196	2,047	0,109	0,161	0,090643963
CYP11B2__JAK3	-0,595	-0,991	-1,403	0,168	0,291	1,196	1,144	0,115	0,063	0,201839013
INPP1__SSTR4	-0,451	-1,612	-2,387	0,227	0,382	1,196	1,237	-0,014	-0,008	0,187544621
CAMK2A__EPHB4	-0,737	-0,079	-1,070	0,155	0,272	1,196	0,758	0,148	0,153	0,278528389
ACY1__GPI	-1,630	-3,285	-4,989	0,230	0,316	1,197	1,171	0,086	0,094	0,198142683
NPEPPS__PIK3CA	-1,323	-2,547	-4,056	0,167	0,265	1,197	1,414	-0,014	-0,009	0,162016348
CDK5__LARS2	-0,143	-5,628	-6,014	0,269	0,337	1,197	1,043	0,059	0,046	0,221616155
CYP26A1__PFKFB4	-1,114	-0,585	-1,880	0,232	0,354	1,198	0,621	0,089	0,096	0,308990345
DNMT1__UMPS	-3,434	-12,605	-13,774	1,015	0,469	1,198	0,984	-0,104	-0,059	0,232725502
CAMK2B__CDK5	-0,060	-0,143	-0,359	0,139	0,263	1,198	2,454	0,212	0,238	0,062165007
FGFR3__MAPKAPK2	-0,912	-0,789	-1,704	0,151	0,267	1,198	0,611	0,208	0,207	0,310788482
NDUFA4L2__PTP4A3	-1,573	-0,976	-2,377	0,170	0,260	1,199	1,322	0,097	0,125	0,174968679
CAMK1D__CAMK2B	0,124	-0,060	-0,075	0,152	0,293	1,199	0,507	0,100	0,062	0,332276237
KDM1A__MCAT	-9,378	-12,434	-19,560	0,871	0,327	1,199	1,186	0,020	0,004	0,195124184
CKM__MST1R	-1,322	-0,732	-1,788	0,159	0,276	1,200	0,521	0,249	0,218	0,329170414
ADRBK1__PFKFB4	-0,953	-0,585	-1,683	0,174	0,315	1,200	0,738	-0,059	-0,004	0,28257506
